0.0,6.06,8.73
1.0,12.04,13.99
2.0,20.52,0.39
3.0,9.81,22.22
4.0,24.2,22.96
5.0,6.94,0.26
6.0,8.81,17.31
7.0,22.4,0.06
8.0,4.67,2.19
9.0,19.93,9.39
10.0,21.16,12.74
11.0,9.8,19.28
12.0,2.29,0.65
13.0,12.52,15.98
14.0,8.41,2.94
15.0,12.52,15.98
16.0,4.99,21.69
17.0,12.52,15.98
18.0,4.17,21.54
19.0,10.36,19.91
20.0,23.37,24.92
21.0,4.88,5.49
22.0,20.35,17.42
23.0,8.2,5.38
24.0,16.98,17.01
25.0,23.34,1.64
26.0,16.98,17.01
27.0,23.34,1.64
28.0,20.35,17.42
29.0,23.34,1.64
30.0,21.38,12.06
31.0,4.02,4.69
32.0,8.02,19.45
33.0,12.04,13.99
34.0,6.73,24.28
35.0,12.19,14.26
36.0,6.73,24.28
37.0,12.19,14.26
38.0,21.38,12.06
39.0,12.19,14.26
40.0,8.02,19.45
41.0,3.65,16.54
42.0,21.16,12.74
43.0,3.65,16.54
44.0,4.99,21.69
45.0,4.32,10.37
46.0,7.99,11.24
47.0,8.71,19.21
48.0,0.37,17.49
49.0,22.82,18.54
50.0,20.35,17.42
51.0,22.82,18.54
52.0,21.85,22.45
53.0,22.82,18.54
54.0,8.41,2.94
55.0,15.93,16.01
56.0,10.11,23.84
57.0,1.36,18.58
58.0,2.5,24.36
59.0,17.41,23.79
60.0,4.17,21.54
61.0,17.41,23.79
62.0,21.85,22.45
63.0,6.02,17.18
64.0,6.06,8.73
65.0,6.02,17.18
66.0,8.02,19.45
67.0,7.04,8.33
68.0,10.11,23.84
69.0,20.36,21.27
70.0,16.98,17.01
71.0,23.42,15.62
72.0,8.41,2.94
73.0,23.42,15.62
74.0,20.35,17.42
75.0,23.22,12.37
76.0,20.52,0.39
77.0,23.22,12.37
78.0,21.16,12.74
79.0,4.63,11.37
80.0,20.52,0.39
81.0,19.88,24.22
82.0,10.11,23.84
83.0,19.41,8.87
84.0,21.85,22.45
85.0,24.7,17.06
86.0,10.11,23.84
87.0,22.32,1.5
88.0,20.35,17.42
89.0,11.7,24.07
90.0,6.73,24.28
91.0,5.22,21.95
92.0,21.16,12.74
93.0,5.23,9.0
94.0,21.16,12.74
95.0,5.23,9.0
96.0,6.73,24.28
97.0,5.23,9.0
98.0,2.29,0.65
99.0,5.23,9.0
100.0,6.06,8.73
