0.0,12.88,16.19
1.0,16.16,3.66
2.0,19.47,12.66
3.0,4.88,2.01
4.0,8.2,4.68
5.0,5.97,8.87
6.0,10.69,1.45
7.0,22.6,10.53
8.0,18.3,8.89
9.0,4.58,9.08
10.0,17.81,4.49
11.0,4.58,9.08
12.0,13.98,13.59
13.0,13.75,11.82
14.0,21.64,4.49
15.0,5.04,24.02
16.0,8.56,13.19
17.0,24.77,18.78
18.0,21.31,23.34
19.0,24.77,18.78
20.0,19.47,12.66
21.0,24.77,18.78
22.0,5.06,24.61
23.0,11.78,18.43
24.0,22.19,19.93
25.0,24.26,21.7
26.0,4.27,17.89
27.0,3.29,12.94
28.0,23.22,1.67
29.0,19.14,1.84
30.0,23.66,12.64
31.0,19.5,24.0
32.0,15.22,5.41
33.0,19.5,24.0
34.0,11.83,11.02
35.0,15.13,21.87
36.0,21.31,23.34
37.0,21.66,21.33
38.0,0.5,15.95
39.0,21.66,21.33
40.0,13.06,8.28
41.0,1.13,3.01
42.0,7.67,7.25
43.0,13.49,6.06
44.0,17.81,4.49
45.0,17.59,0.86
46.0,23.21,1.38
47.0,6.66,0.7
48.0,15.22,5.41
49.0,9.96,14.17
50.0,0.5,15.95
51.0,2.5,17.2
52.0,17.81,4.49
53.0,16.04,24.51
54.0,17.81,4.49
55.0,19.6,17.6
56.0,4.27,17.89
57.0,19.6,17.6
58.0,19.47,12.66
59.0,19.6,17.6
60.0,13.98,13.59
61.0,17.16,18.91
62.0,17.81,4.49
63.0,14.59,17.8
64.0,21.31,23.34
65.0,14.82,22.84
66.0,21.64,4.49
67.0,21.01,22.68
68.0,10.69,1.45
69.0,13.61,4.59
70.0,17.81,4.49
71.0,15.24,3.54
72.0,17.81,4.49
73.0,21.78,12.36
74.0,5.06,24.61
75.0,21.78,12.36
76.0,7.67,7.25
77.0,16.4,20.61
78.0,22.19,19.93
79.0,22.92,1.34
80.0,23.22,1.67
81.0,22.92,1.34
82.0,19.47,12.66
83.0,16.69,16.51
84.0,11.83,11.02
85.0,16.69,16.51
86.0,19.47,12.66
87.0,23.26,5.39
88.0,0.5,15.95
89.0,23.26,5.39
90.0,21.31,23.34
91.0,4.88,14.68
92.0,21.31,23.34
93.0,4.88,14.68
94.0,22.19,19.93
95.0,11.26,11.05
96.0,15.22,5.41
97.0,5.64,0.84
98.0,17.81,4.49
99.0,2.52,20.26
100.0,12.88,16.19
