0.0,21.65,8.2
1.0,6.46,24.28
2.0,24.9,9.94
3.0,16.96,5.52
4.0,21.61,25.02
5.0,17.19,9.55
6.0,7.0,14.1
7.0,0.81,16.24
8.0,15.56,5.87
9.0,22.68,17.84
10.0,21.61,25.02
11.0,22.68,17.84
12.0,12.56,7.62
13.0,13.23,17.7
14.0,21.61,25.02
15.0,13.23,17.7
16.0,21.41,4.5
17.0,1.35,21.22
18.0,19.25,8.79
19.0,1.35,21.22
20.0,3.77,10.77
21.0,23.02,1.79
22.0,15.56,5.87
23.0,23.02,1.79
24.0,1.35,5.35
25.0,9.72,8.34
26.0,6.67,11.25
27.0,3.67,4.62
28.0,14.21,15.32
29.0,18.38,1.74
30.0,5.8,23.29
31.0,6.28,8.63
32.0,7.59,6.97
33.0,6.28,8.63
34.0,22.7,0.66
35.0,22.23,11.07
36.0,6.67,11.25
37.0,22.23,11.07
38.0,24.77,23.63
39.0,22.23,11.07
40.0,24.77,23.63
41.0,22.23,11.07
42.0,13.92,1.29
43.0,6.44,16.17
44.0,16.46,0.97
45.0,16.6,14.06
46.0,6.28,7.59
47.0,1.04,11.88
48.0,4.65,1.22
49.0,1.28,4.63
50.0,7.0,14.1
51.0,1.28,4.63
52.0,19.25,8.79
53.0,1.28,4.63
54.0,14.21,15.32
55.0,1.28,4.63
56.0,7.59,6.97
57.0,22.68,17.05
58.0,4.65,1.22
59.0,22.68,17.05
60.0,24.77,23.63
61.0,9.95,13.12
62.0,19.25,8.79
63.0,9.8,19.08
64.0,7.0,14.1
65.0,9.8,19.08
66.0,17.26,0.38
67.0,18.41,18.76
68.0,21.65,8.2
69.0,18.41,18.76
70.0,16.46,0.97
71.0,18.41,18.76
72.0,21.65,8.2
73.0,20.32,0.97
74.0,21.65,8.2
75.0,10.17,24.68
76.0,6.67,11.25
77.0,18.86,13.46
78.0,21.41,4.5
79.0,18.86,13.46
80.0,13.92,1.29
81.0,7.36,25.03
82.0,4.65,1.22
83.0,7.36,25.03
84.0,24.9,9.94
85.0,3.44,5.42
86.0,7.0,14.1
87.0,4.95,17.06
88.0,19.25,8.79
89.0,24.28,8.99
90.0,14.21,15.32
91.0,24.28,8.99
92.0,21.61,25.02
93.0,3.43,20.82
94.0,6.28,7.59
95.0,16.48,23.9
96.0,5.8,23.29
97.0,15.45,1.18
98.0,21.61,25.02
99.0,12.66,12.04
100.0,21.65,8.2
